Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:27,6.384893,6.476572,3.658733,4.085959,5.551944
11/1/2018 7:27,6.06334,6.275476,2.862253,2.792841,4.754174
11/1/2018 7:28,5.8759,4.497735,3.403504,3.459483,3.765117
11/1/2018 7:28,6.099023,4.191108,3.102383,3.30487,3.311254
11/1/2018 7:28,5.978989,5.430004,4.04026,3.052385,4.992085
11/1/2018 7:28,6.188496,4.41596,3.694371,4.019377,4.636842
11/1/2018 7:28,6.158108,6.432635,4.661167,3.016812,3.240412
11/1/2018 7:28,5.937439,4.684527,3.078494,3.631073,3.076406
11/1/2018 7:28,5.939827,4.1624,2.859338,2.357583,3.301147
11/1/2018 7:28,5.974823,6.463908,3.062011,2.44561,3.874214
11/1/2018 7:28,6.062697,7.490965,3.495271,3.559279,5.679027
11/1/2018 7:28,6.205315,6.535233,3.771639,3.584903,3.77522
11/1/2018 7:28,6.295261,5.206911,2.866351,3.487706,4.15952
11/1/2018 7:28,5.887958,6.261198,3.371329,3.156648,3.451353
11/1/2018 7:29,6.260415,4.47071,3.555808,3.816313,4.075284
11/1/2018 7:29,5.885851,4.605898,3.560064,3.390271,4.757734
11/1/2018 7:29,6.175362,4.059014,4.239859,2.616388,3.061779
11/1/2018 7:29,6.268243,4.515885,3.692153,4.192954,3.424328
11/1/2018 7:29,6.177354,6.867668,3.497259,2.793012,4.718918
11/1/2018 7:29,5.977923,5.269446,3.549448,2.778014,2.98089
11/1/2018 7:29,6.147798,5.318175,2.673737,2.785636,3.037288
11/1/2018 7:29,5.920799,6.019076,3.278564,2.92418,5.02005
11/1/2018 7:29,5.78013,3.755595,4.608446,4.168464,3.733377
11/1/2018 7:29,6.078271,6.382247,3.772741,3.441177,4.577598
11/1/2018 7:29,6.044842,5.319382,2.954509,3.800513,3.222356
11/1/2018 7:29,5.983222,5.645763,2.922475,3.668084,4.354138
11/1/2018 7:30,6.15839,6.927537,4.14198,3.434398,5.978057
